datetime,temp_f,relative_humidity_pct,precipitation_in,wind_speed_mph,wind_direction_deg,cloud_cover_pct,shortwave_radiation,direct_normal_irr,diffuse_radiation,uv_index,fetched_at,latitude,longitude,utc_offset_seconds,timezone_abbrev,date,hour,day_of_week,is_daytime,wind_cardinal,total_irradiance,is_sunny,uv_risk,is_raining,feels_like_f
2026-07-03 00:00:00,81.1,64,0.0,2.8,252,0,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,0,Friday,False,WSW,0.0,False,Low,False,83.8
2026-07-03 01:00:00,78.6,74,0.0,1.4,198,0,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,1,Friday,False,SSW,0.0,False,Low,False,78.6
2026-07-03 02:00:00,77.6,73,0.0,2.6,211,0,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,2,Friday,False,SSW,0.0,False,Low,False,77.6
2026-07-03 03:00:00,76.7,74,0.0,2.7,189,0,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,3,Friday,False,S,0.0,False,Low,False,76.7
2026-07-03 04:00:00,76.1,75,0.0,4.4,221,0,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,4,Friday,False,SW,0.0,False,Low,False,76.1
2026-07-03 05:00:00,75.8,72,0.0,2.7,189,0,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,5,Friday,False,S,0.0,False,Low,False,75.8
2026-07-03 06:00:00,75.0,74,0.0,3.9,211,0,21.0,70.2,16.0,0.1,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,6,Friday,True,SSW,37.0,False,Low,False,75.0
2026-07-03 07:00:00,76.8,72,0.0,4.6,241,0,150.0,474.4,57.0,0.7,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,7,Friday,True,WSW,207.0,False,Low,False,76.8
2026-07-03 08:00:00,78.7,69,0.0,4.1,241,0,320.0,634.9,87.0,1.8,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,8,Friday,True,WSW,407.0,True,Low,False,78.7
2026-07-03 09:00:00,80.9,63,0.0,5.9,233,38,494.0,726.2,108.0,3.25,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,9,Friday,True,SW,602.0,True,Moderate,False,83.4
2026-07-03 10:00:00,83.0,59,0.0,6.7,217,0,657.0,772.3,133.0,4.8,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,10,Friday,True,SW,790.0,True,Moderate,False,85.7
2026-07-03 11:00:00,85.9,54,0.0,6.5,236,0,787.0,814.7,137.0,6.2,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,11,Friday,True,SW,924.0,True,High,False,88.9
2026-07-03 12:00:00,88.8,50,0.0,6.7,255,0,878.0,830.4,146.0,7.2,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,12,Friday,True,WSW,1024.0,True,High,False,92.4
2026-07-03 13:00:00,90.5,44,0.0,9.2,273,0,920.0,832.6,151.0,7.75,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,13,Friday,True,W,1071.0,True,High,False,92.9
2026-07-03 14:00:00,90.5,37,0.0,12.7,280,0,910.0,823.8,151.0,7.7,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,14,Friday,True,W,1061.0,True,High,False,90.4
2026-07-03 15:00:00,90.9,42,0.0,12.3,289,0,849.0,797.8,151.0,7.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,15,Friday,True,WNW,1000.0,True,High,False,92.8
2026-07-03 16:00:00,90.7,44,0.0,12.7,284,0,692.0,699.7,141.0,6.05,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,16,Friday,True,WNW,833.0,True,High,False,93.3
2026-07-03 17:00:00,89.7,47,0.0,13.9,281,22,602.0,649.6,170.0,4.65,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,17,Friday,True,W,772.0,True,Moderate,False,92.8
2026-07-03 18:00:00,88.4,49,0.0,12.5,285,0,431.0,589.4,127.0,3.1,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,18,Friday,True,WNW,558.0,True,Moderate,False,91.3
2026-07-03 19:00:00,86.8,52,0.0,9.0,277,0,251.0,420.1,104.0,1.65,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,19,Friday,True,W,355.0,True,Low,False,89.7
2026-07-03 20:00:00,76.9,70,0.0,15.0,309,50,53.0,0.0,64.0,0.6,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,20,Friday,True,NW,117.0,False,Low,False,76.9
2026-07-03 21:00:00,77.6,67,0.0,7.8,270,100,0.0,0.0,0.0,0.05,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,21,Friday,False,W,0.0,False,Low,False,77.6
2026-07-03 22:00:00,76.6,80,0.0,2.9,231,72,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,22,Friday,False,SW,0.0,False,Low,False,76.6
2026-07-03 23:00:00,75.8,79,0.0,2.9,180,1,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-03,23,Friday,False,S,0.0,False,Low,False,75.8
2026-07-04 00:00:00,75.1,80,0.0,3.2,172,100,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,0,Saturday,False,S,0.0,False,Low,False,75.1
2026-07-04 01:00:00,74.6,81,0.0,5.0,198,54,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,1,Saturday,False,SSW,0.0,False,Low,False,74.6
2026-07-04 02:00:00,74.4,80,0.0,5.6,196,100,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,2,Saturday,False,SSW,0.0,False,Low,False,74.4
2026-07-04 03:00:00,74.8,80,0.0,4.8,202,41,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,3,Saturday,False,SSW,0.0,False,Low,False,74.8
2026-07-04 04:00:00,76.3,84,0.0,4.0,270,100,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,4,Saturday,False,W,0.0,False,Low,False,76.3
2026-07-04 05:00:00,74.6,83,0.0,3.0,287,17,0.0,0.0,0.0,0.0,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,5,Saturday,False,WNW,0.0,False,Low,False,74.6
2026-07-04 06:00:00,74.7,82,0.0,2.6,285,100,4.0,0.0,4.0,0.1,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,6,Saturday,True,WNW,8.0,False,Low,False,74.7
2026-07-04 07:00:00,75.7,72,0.0,4.3,309,56,97.0,61.7,85.0,0.7,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,7,Saturday,True,NW,182.0,False,Low,False,75.7
2026-07-04 08:00:00,75.6,71,0.0,6.7,339,63,177.0,46.5,160.0,1.8,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,8,Saturday,True,NNW,337.0,False,Low,False,75.6
2026-07-04 09:00:00,76.2,70,0.0,10.1,339,61,395.0,358.3,205.0,3.2,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,9,Saturday,True,NNW,600.0,False,Moderate,False,76.2
2026-07-04 10:00:00,77.1,62,0.0,8.9,335,59,470.0,296.7,269.0,4.7,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,10,Saturday,True,NNW,739.0,False,Moderate,False,77.1
2026-07-04 11:00:00,79.0,58,0.0,7.2,330,66,685.0,515.7,274.0,6.1,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,11,Saturday,True,NNW,959.0,False,High,False,79.0
2026-07-04 12:00:00,80.8,53,0.0,8.9,328,12,841.0,638.1,279.0,6.5,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,12,Saturday,True,NNW,1120.0,True,High,False,81.9
2026-07-04 13:00:00,81.1,49,0.0,10.6,325,72,746.0,441.0,339.0,7.65,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,13,Saturday,True,NW,1085.0,False,High,False,81.7
2026-07-04 14:00:00,81.7,42,0.0,9.9,322,15,857.0,591.8,312.0,7.55,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,14,Saturday,True,NW,1169.0,True,High,False,81.4
2026-07-04 15:00:00,82.1,42,0.0,9.8,323,4,813.0,587.7,299.0,4.8,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,15,Saturday,True,NW,1112.0,True,Moderate,False,81.8
2026-07-04 16:00:00,82.1,41,0.0,8.8,328,7,737.0,668.2,211.0,5.95,2026-07-03 15:52:57.553645+00:00,44.4759,-73.2121,-14400,GMT-4,2026-07-04,16,Saturday,True,NNW,948.0,True,Moderate,False,81.7
